(principle components used , train accuracy , test accuracy)=
(1, 0.9325513196480938, 0.9254385964912281)
(2, 0.9501466275659824, 0.9385964912280702)
(3, 0.9560117302052786, 0.9736842105263158)
(4, 0.967741935483871, 0.9780701754385965)
(5, 0.9765395894428153, 0.9692982456140351)
(6, 0.9765395894428153, 0.9736842105263158)
(7, 0.9706744868035191, 0.9868421052631579)
(8, 0.9736070381231672, 0.9824561403508771)
(9, 0.9706744868035191, 0.9868421052631579)
(10, 0.9765395894428153, 0.9824561403508771)
(11, 0.9736070381231672, 0.9912280701754386)
(12, 0.9765395894428153, 0.9868421052631579)
(13, 0.9736070381231672, 0.9824561403508771)
(14, 0.9765395894428153, 0.9868421052631579)
(15, 0.9794721407624634, 0.9824561403508771)
(16, 0.9794721407624634, 0.9824561403508771)
(17, 0.9794721407624634, 0.9824561403508771)
(18, 0.9794721407624634, 0.9824561403508771)
(19, 0.9765395894428153, 0.9824561403508771)
(20, 0.9794721407624634, 0.9824561403508771)
