(principle components used ,Precision ,recall):
(1, 0.9090909090909091, 0.875)
(2, 0.9342105263157895, 0.8875)
(3, 0.9512195121951219, 0.975)
(4, 0.9746835443037974, 0.9625)
(5, 0.9397590361445783, 0.975)
(6, 0.9512195121951219, 0.975)
(7, 0.9873417721518988, 0.975)
(8, 0.975, 0.975)
(9, 0.9753086419753086, 0.9875)
(10, 0.975, 0.975)
(11, 0.9875, 0.9875)
(12, 0.9753086419753086, 0.9875)
(13, 0.9871794871794872, 0.9625)
(14, 0.9873417721518988, 0.975)
(15, 0.9871794871794872, 0.9625)
(16, 0.9871794871794872, 0.9625)
(17, 0.9871794871794872, 0.9625)
(18, 0.9871794871794872, 0.9625)
(19, 0.9871794871794872, 0.9625)
(20, 0.975, 0.975)
